"'"	(('POS', 0.8198), ("''", 0.1762), (':', 0.004))
'11\\/32'	(('CD', 1.0),)
'11th'	(('JJ', 1.0),)
'11th-biggest'	(('JJ', 1.0),)
'11th-grade'	(('JJ', 1.0),)
'11th-hour'	(('JJ', 1.0),)
'12'	(('CD', 1.0),)
'12,000'	(('CD', 1.0),)
'12,017,724'	(('CD', 1.0),)
'12,092'	(('CD', 1.0),)
'12,275'	(('CD', 1.0),)
'12,281'	(('CD', 1.0),)
'12,283,217'	(('CD', 1.0),)
'12,345'	(('CD', 1.0),)
'12,500'	(('CD', 1.0),)
'12,500,000'	(('CD', 1.0),)
'12,573,758'	(('CD', 1.0),)
'12,591'	(('CD', 1.0),)
'12,822,563'	(('CD', 1.0),)
'12,915,000'	(('CD', 1.0),)
'12-2'	(('RB', 1.0),)
'12-bed'	(('JJ', 1.0),)
'12-cent-a-share'	(('JJ', 1.0),)
'12-count'	(('JJ', 1.0),)
'12-county'	(('JJ', 1.0),)
'12-day'	(('JJ', 1.0),)
'12-inches'	(('NNS', 1.0),)
'12-member'	(('JJ', 1.0),)
'12-minute'	(('JJ', 1.0),)
'12-month'	(('JJ', 1.0),)
'12-pack'	(('NN', 1.0),)
'12-point'	(('JJ', 1.0),)
'12-story-high'	(('JJ', 1.0),)
'12-year'	(('JJ', 1.0),)
'12-year-old'	(('JJ', 1.0),)
'12.05'	(('CD', 1.0),)
'12.09'	(('CD', 1.0),)
'12.1'	(('CD', 1.0),)
'12.10'	(('CD', 1.0),)
'12.12'	(('CD', 1.0),)
'12.125'	(('CD', 1.0),)
'12.2'	(('CD', 1.0),)
'12.25'	(('CD', 1.0),)
'12.3'	(('CD', 1.0),)
'12.375'	(('CD', 1.0),)
'12.38'	(('CD', 1.0),)
'12.39'	(('CD', 1.0),)
'12.4'	(('CD', 1.0),)
'12.43'	(('CD', 1.0),)
'12.44'	(('CD', 1.0),)
'12.45'	(('CD', 1.0),)
'12.48'	(('CD', 1.0),)
'12.49'	(('CD', 1.0),)
'12.5'	(('CD', 1.0),)
'12.50'	(('CD', 1.0),)
'12.57'	(('CD', 1.0),)
'12.6'	(('CD', 1.0),)
'12.60'	(('CD', 1.0),)
'12.66'	(('CD', 1.0),)
'12.7'	(('CD', 1.0),)
'12.75'	(('CD', 1.0),)
'12.76'	(('CD', 1.0),)
'12.8'	(('CD', 1.0),)
'12.8-pound'	(('JJ', 1.0),)
'12.875'	(('CD', 1.0),)
'12.9'	(('CD', 1.0),)
'12.9375'	(('CD', 1.0),)
'12.94'	(('CD', 1.0),)
'12.95'	(('CD', 1.0),)
'12.97'	(('CD', 1.0),)
'120'	(('CD', 1.0),)
'120,000'	(('CD', 1.0),)
'120,000-employee'	(('JJ', 1.0),)
'120-a-share'	(('JJ', 1.0),)
'120-day'	(('JJ', 1.0),)
'120-megabyte'	(('JJ', 1.0),)
'120.1'	(('CD', 1.0),)
'120.6'	(('CD', 1.0),)
'120.7'	(('CD', 1.0),)
'120.8'	(('CD', 1.0),)
'1205.01'	(('CD', 1.0),)
'121'	(('CD', 1.0),)
'121.2'	(('CD', 1.0),)
'1210.70'	(('CD', 1.0),)
'122'	(('CD', 1.0),)
'122,700'	(('CD', 1.0),)
'122.36'	(('CD', 1.0),)
'122.4'	(('CD', 1.0),)
'122.7'	(('CD', 1.0),)
'123'	(('CD', 1.0),)
'123,000'	(('CD', 1.0),)
'123.1'	(('CD', 1.0),)
'123.5'	(('CD', 1.0),)
'123.6'	(('CD', 1.0),)
'123.7'	(('CD', 1.0),)
'123.8'	(('CD', 1.0),)
'123.9'	(('CD', 1.0),)
'1230.80'	(('CD', 1.0),)
'1236.66'	(('CD', 1.0),)
'124'	(('CD', 1.0),)
'124,000'	(('CD', 1.0),)
'124,732'	(('CD', 1.0),)
'124,875'	(('CD', 1.0),)
'124-year-old'	(('JJ', 1.0),)
'124.2'	(('CD', 1.0),)
'124.5'	(('CD', 1.0),)
'1247.87'	(('CD', 1.0),)
'125'	(('CD', 1.0),)
'125,000'	(('CD', 1.0),)
'125,075'	(('CD', 1.0),)
'125,849'	(('CD', 1.0),)
'125-a-share'	(('JJ', 1.0),)
'125-billion-a-year'	(('JJ', 1.0),)
'125.1'	(('CD', 1.0),)
'125.7'	(('CD', 1.0),)
'1254.27'	(('CD', 1.0),)
'126,630,000'	(('CD', 1.0),)
'126.1'	(('CD', 1.0),)
'126.6'	(('CD', 1.0),)
'126.68'	(('CD', 1.0),)
'1263.51'	(('CD', 1.0),)
'127'	(('CD', 1.0),)
'127,446'	(('CD', 1.0),)
'127.5'	(('CD', 1.0),)
'128'	(('CD', 1.0),)
'128.1'	(('CD', 1.0),)
'128.19'	(('CD', 1.0),)
'128.6'	(('CD', 1.0),)
'128.9'	(('CD', 1.0),)
'129'	(('CD', 1.0),)
'129.24'	(('CD', 1.0),)
'129.3'	(('CD', 1.0),)
'129.38'	(('CD', 1.0),)
'129.48'	(('CD', 1.0),)
'129.49'	(('CD', 1.0),)
'129.6'	(('CD', 1.0),)
'129.62'	(('CD', 1.0),)
'129.63'	(('CD', 1.0),)
'129.72'	(('CD', 1.0),)
'129.84'	(('CD', 1.0),)
'129.90'	(('CD', 1.0),)
'129.97'	(('CD', 1.0),)
'12:01'	(('CD', 1.0),)
'12:06'	(('CD', 1.0),)
'12:07'	(('CD', 1.0),)
'12:15'	(('CD', 1.0),)
'12:38'	(('CD', 1.0),)
'12:48'	(('CD', 1.0),)
'12:54'	(('CD', 1.0),)
'12\\/32'	(('CD', 1.0),)
'12th'	(('JJ', 1.0),)
'13'	(('CD', 1.0),)
'13,000'	(('CD', 1.0),)
'13,120'	(('CD', 1.0),)
'13,249'	(('CD', 1.0),)
'13,865,000'	(('CD', 1.0),)
'13-7'	(('CD', 1.0),)
'13-hour'	(('JJ', 1.0),)
'13-nation'	(('JJ', 1.0),)
'13-point'	(('JJ', 1.0),)
'13-week'	(('JJ', 1.0),)
'13.02'	(('CD', 1.0),)
'13.05'	(('CD', 1.0),)
'13.1'	(('CD', 1.0),)
'13.15'	(('CD', 1.0),)
'13.18'	(('CD', 1.0),)
'13.2'	(('CD', 1.0),)
'13.25'	(('CD', 1.0),)
'13.26'	(('CD', 1.0),)
'13.3'	(('CD', 1.0),)
'13.32'	(('CD', 1.0),)
'13.34'	(('CD', 1.0),)
'13.35'	(('CD', 1.0),)
'13.4'	(('CD', 1.0),)
'13.44'	(('CD', 1.0),)
'13.5'	(('CD', 1.0),)
'13.50'	(('CD', 1.0),)
'13.6'	(('CD', 1.0),)
'13.625'	(('CD', 1.0),)
'13.63'	(('CD', 1.0),)
'13.64'	(('CD', 1.0),)
'13.7'	(('CD', 1.0),)
'13.71'	(('CD', 1.0),)
'13.75'	(('CD', 1.0),)
'13.78'	(('CD', 1.0),)
'13.79'	(('CD', 1.0),)
'13.8'	(('CD', 1.0),)
'13.81'	(('CD', 1.0),)
'13.851'	(('CD', 1.0),)
'13.9'	(('CD', 1.0),)
'13.94'	(('CD', 1.0),)
'130'	(('CD', 1.0),)
'130,000'	(('CD', 1.0),)
'130-lawyer'	(('JJ', 1.0),)
'130-unit'	(('JJ', 1.0),)
'130.09'	(('CD', 1.0),)
'130.1'	(('CD', 1.0),)
'130.13'	(('CD', 1.0),)
'130.2'	(('CD', 1.0),)
'130.25'	(('CD', 1.0),)
'130.36'	(('CD', 1.0),)
'130.46'	(('CD', 1.0),)
'130.73'	(('CD', 1.0),)
'130.76'	(('CD', 1.0),)
'130.80'	(('CD', 1.0),)
'130.875'	(('CD', 1.0),)
'131'	(('CD', 1.0),)
'131,146'	(('CD', 1.0),)
'131.3'	(('CD', 1.0),)
'131.34'	(('CD', 1.0),)
'131.64'	(('CD', 1.0),)
'132'	(('CD', 1.0),)
'132,000'	(('CD', 1.0),)
'132,620,000'	(('CD', 1.0),)
'132-acre'	(('JJ', 1.0),)
'132.00'	(('CD', 1.0),)
'132.1'	(('CD', 1.0),)
'132.8'	(('CD', 1.0),)
'133'	(('CD', 1.0),)
'133.1'	(('CD', 1.0),)
'133.8'	(('CD', 1.0),)
'134'	(('CD', 1.0),)
'134,000'	(('CD', 1.0),)
'134,550'	(('CD', 1.0),)
'134,750,000'	(('CD', 1.0),)
'134-lawyer'	(('JJ', 1.0),)
'134.2'	(('CD', 1.0),)
'134.8'	(('CD', 1.0),)
'134.9'	(('CD', 1.0),)
'135'	(('CD', 1.0),)
'135,000'	(('CD', 1.0),)
'135,860,000'	(('CD', 1.0),)
'135.09'	(('CD', 1.0),)
'135.2'	(('CD', 1.0),)
'135.6'	(('CD', 1.0),)
'135.9'	(('CD', 1.0),)
'136'	(('CD', 1.0),)
'136,000'	(('CD', 1.0),)
'136,800'	(('CD', 1.0),)
'136-page'	(('JJ', 1.0),)
'136-year-old'	(('JJ', 1.0),)
'136.4'	(('CD', 1.0),)
'137'	(('CD', 1.0),)
'137,200'	(('CD', 1.0),)
'137,550,000'	(('CD', 1.0),)
'137.2'	(('CD', 1.0),)
'137.20'	(('CD', 1.0),)
'137.4'	(('CD', 1.0),)
'137.5'	(('CD', 1.0),)
'137.6'	(('CD', 1.0),)
'137.8'	(('CD', 1.0),)
'138'	(('CD', 1.0),)
'138.625'	(('CD', 1.0),)
'139'	(('CD', 1.0),)
'139.75'	(('CD', 1.0),)
'13\\/16'	(('CD', 1.0),)
'13\\/32'	(('CD', 1.0),)
'13d'	(('CD', 1.0),)
'13th'	(('JJ', 0.6364), ('NN', 0.2727), ('NNP', 0.0909))
'14'	(('CD', 1.0),)
'14,000'	(('CD', 1.0),)
'14,099'	(('CD', 1.0),)
'14,505'	(('CD', 1.0),)
'14,560,000'	(('CD', 1.0),)
'14,580,000'	(('CD', 1.0),)
'14,789,000'	(('CD', 1.0),)
'14-foot'	(('JJ', 1.0),)
'14-judge'	(('JJ', 1.0),)
'14-month'	(('JJ', 1.0),)
'14-point'	(('JJ', 1.0),)
'14-pound'	(('JJ', 1.0),)
'14-ship'	(('JJ', 1.0),)
'14-year'	(('JJ', 1.0),)
'14-year-old'	(('JJ', 1.0),)
'14.06'	(('CD', 1.0),)
'14.1'	(('CD', 1.0),)
'14.11'	(('CD', 1.0),)
'14.2'	(('CD', 1.0),)
'14.24'	(('CD', 1.0),)
'14.25'	(('CD', 1.0),)
'14.27'	(('CD', 1.0),)
'14.3'	(('CD', 1.0),)
'14.31'	(('CD', 1.0),)
'14.4'	(('CD', 1.0),)
'14.43'	(('CD', 1.0),)
'14.44'	(('CD', 1.0),)
'14.5'	(('CD', 1.0),)
'14.50'	(('CD', 1.0),)
'14.6'	(('CD', 1.0),)
'14.60'	(('CD', 1.0),)
'14.7'	(('CD', 1.0),)
'14.70'	(('CD', 1.0),)
'14.75'	(('CD', 1.0),)
'14.76'	(('CD', 1.0),)
'14.8'	(('CD', 1.0),)
'14.85'	(('CD', 1.0),)
'14.933'	(('CD', 1.0),)
'14.95'	(('CD', 1.0),)
'14.97'	(('CD', 1.0),)
'14.99'	(('CD', 1.0),)
'140'	(('CD', 1.0),)
'140,000'	(('CD', 1.0),)
'140-point'	(('JJ', 1.0),)
'140.1'	(('CD', 1.0),)
'140.106'	(('CD', 1.0),)
'140.74'	(('CD', 1.0),)
'140.91'	(('CD', 1.0),)
'140.95'	(('CD', 1.0),)
'140.97'	(('CD', 1.0),)
'141'	(('CD', 1.0),)
'141,903'	(('CD', 1.0),)
'141.1'	(('CD', 1.0),)
'141.33'	(('CD', 1.0),)
'141.35'	(('CD', 1.0),)
'141.45'	(('CD', 1.0),)
'141.52'	(('CD', 1.0),)
'141.55'	(('CD', 1.0),)
'141.57'	(('CD', 1.0),)
'141.60'	(('CD', 1.0),)
'141.65'	(('CD', 1.0),)
'141.70'	(('CD', 1.0),)
'141.80'	(('CD', 1.0),)
'141.85'	(('CD', 1.0),)
'141.90'	(('CD', 1.0),)
'141.93'	(('CD', 1.0),)
'141.95'	(('CD', 1.0),)
'142'	(('CD', 1.0),)
'142,117'	(('CD', 1.0),)
'142.02'	(('CD', 1.0),)
'142.10'	(('CD', 1.0),)
'142.15'	(('CD', 1.0),)
'142.17'	(('CD', 1.0),)
'142.2'	(('CD', 1.0),)
'142.25'	(('CD', 1.0),)
'142.3'	(('CD', 1.0),)
'142.32'	(('CD', 1.0),)
'142.4'	(('CD', 1.0),)
'142.40'	(('CD', 1.0),)
'142.43'	(('CD', 1.0),)
'142.5'	(('CD', 1.0),)
'142.55'	(('CD', 1.0),)
'142.70'	(('CD', 1.0),)
'142.75'	(('CD', 1.0),)
'142.80'	(('CD', 1.0),)
'142.85'	(('CD', 1.0),)
'142.95'	(('CD', 1.0),)
'143'	(('CD', 1.0),)
'143,000'	(('CD', 1.0),)
'143,178'	(('CD', 1.0),)
'143,534'	(('CD', 1.0),)
'143,800'	(('CD', 1.0),)
'143.4'	(('CD', 1.0),)
'143.6'	(('CD', 1.0),)
'143.88'	(('CD', 1.0),)
'144'	(('CD', 1.0),)
'144,610'	(('CD', 1.0),)
'144.1'	(('CD', 1.0),)
'144.35'	(('CD', 1.0),)
'144.4'	(('CD', 1.0),)
'144.5'	(('CD', 1.0),)
'144.9'	(('CD', 1.0),)
'145'	(('CD', 1.0),)
'145,954'	(('CD', 1.0),)
'145.2'	(('CD', 1.0),)
'145.4'	(('CD', 1.0),)
'145.45'	(('CD', 1.0),)
'145.7'	(('CD', 1.0),)
'146'	(('CD', 1.0),)
'146.3'	(('CD', 1.0),)
'146.8'	(('CD', 1.0),)
'1462.93'	(('CD', 1.0),)
'1466.29'	(('CD', 1.0),)
'147,121'	(('CD', 1.0),)
'147,300-share'	(('JJ', 1.0),)
'147.5'	(('CD', 1.0),)
'147.6'	(('CD', 1.0),)
'1472.76'	(('CD', 1.0),)
'148'	(('CD', 1.0),)
'148,000'	(('CD', 1.0),)
'148-a-share'	(('JJ', 1.0),)
'148.85'	(('CD', 1.0),)
'149'	(('CD', 1.0),)
'149.3'	(('CD', 1.0),)
'149.5'	(('CD', 1.0),)
'149.69'	(('CD', 1.0),)
'14\\/32'	(('CD', 1.0),)
'14th'	(('JJ', 1.0),)
'15'	(('CD', 0.9976), ('VBN', 0.0024))
'15,000'	(('CD', 1.0),)
'15,000-foot'	(('JJ', 1.0),)
'15,015,000'	(('CD', 1.0),)
'15,261'	(('CD', 1.0),)
'15,845,000'	(('CD', 1.0),)
'15-a-share'	(('JJ', 1.0),)
'15-acre'	(('JJ', 1.0),)
'15-cents-a-share'	(('JJ', 1.0),)
'15-day'	(('JJ', 1.0),)
'15-fold'	(('JJ', 1.0),)
'15-minute'	(('JJ', 1.0),)
'15-month'	(('JJ', 1.0),)
'15-pound'	(('JJ', 1.0),)
'15-year'	(('JJ', 1.0),)
'15.02'	(('CD', 1.0),)
'15.06'	(('CD', 1.0),)
'15.09'	(('CD', 1.0),)
'15.1'	(('CD', 1.0),)
'15.125'	(('CD', 1.0),)
'15.2'	(('CD', 1.0),)
'15.25'	(('CD', 1.0),)
'15.3'	(('CD', 1.0),)
'15.31'	(('CD', 1.0),)
'15.375'	(('CD', 1.0),)
'15.4'	(('CD', 1.0),)
'15.43'	(('CD', 1.0),)
'15.44'	(('CD', 1.0),)
'15.5'	(('CD', 1.0),)
'15.50'	(('CD', 1.0),)
'15.6'	(('CD', 1.0),)
'15.625'	(('CD', 1.0),)
'15.64'	(('CD', 1.0),)
'15.65'	(('CD', 1.0),)
'15.7'	(('CD', 1.0),)
'15.72'	(('CD', 1.0),)
'15.75'	(('CD', 1.0),)
'15.8'	(('CD', 1.0),)
'15.80'	(('CD', 1.0),)
'15.82'	(('CD', 1.0),)
'15.85'	(('CD', 1.0),)
'15.9'	(('CD', 1.0),)
'15.97'	(('CD', 1.0),)
'150'	(('CD', 1.0),)
'150,000'	(('CD', 1.0),)
'150,000-barrel-a-day'	(('JJ', 1.0),)
'150,000-square-foot'	(('JJ', 1.0),)
'150-foot-tall'	(('JJ', 1.0),)
'150-megawatt'	(('JJ', 1.0),)
'150-member'	(('JJ', 1.0),)
'150-plus'	(('JJ', 1.0),)
'150.2'	(('CD', 1.0),)
'150.3'	(('CD', 1.0),)
'150.7'	(('CD', 1.0),)
'150.8'	(('CD', 1.0),)
'1507.37'	(('CD', 1.0),)
'151'	(('CD', 1.0),)
'151,000'	(('CD', 1.0),)
'151.20'	(('CD', 1.0),)
'151.8'	(('CD', 1.0),)
'152,000'	(('CD', 1.0),)
'152.08'	(('CD', 1.0),)
'1523.22'	(('CD', 1.0),)
'153'	(('CD', 1.0),)
'153,000'	(('CD', 1.0),)
'153.3'	(('CD', 1.0),)
'153.9'	(('CD', 1.0),)
'153.93'	(('CD', 1.0),)
'154'	(('CD', 1.0),)
'154.05'	(('CD', 1.0),)
'154.2'	(('CD', 1.0),)
'155'	(('CD', 1.0),)
'155,000'	(('CD', 1.0),)
'155,650,000'	(('CD', 1.0),)
'155-mm'	(('CD', 1.0),)
'155.039'	(('CD', 1.0),)
'155.1'	(('CD', 1.0),)
'155.15'	(('CD', 1.0),)
'155.3'	(('CD', 1.0),)
'155.4'	(('CD', 1.0),)
'155.7'	(('CD', 1.0),)
'155mm'	(('CD', 1.0),)
'156'	(('CD', 1.0),)
'156,000-square-yard'	(('JJ', 1.0),)
'156.12'	(('CD', 1.0),)
'156.3'	(('CD', 1.0),)
'156.6'	(('CD', 1.0),)
'156.7'	(('CD', 1.0),)
'156.8'	(('CD', 1.0),)
'157'	(('CD', 1.0),)
'157.2'	(('CD', 1.0),)
'157.78'	(('CD', 1.0),)
'157.8'	(('CD', 1.0),)
'158'	(('CD', 1.0),)
'158,863'	(('CD', 1.0),)
'158.2'	(('CD', 1.0),)
'159'	(('CD', 1.0),)
'159.7'	(('CD', 1.0),)
'159.92'	(('CD', 1.0),)
'15\\/16'	(('CD', 1.0),)
'15\\/32'	(('CD', 1.0),)
'15th'	(('JJ', 1.0),)
'16%-owned'	(('JJ', 1.0),)
'16'	(('CD', 1.0),)
'16,000'	(('CD', 1.0),)
'16,250'	(('CD', 1.0),)
'16,500'	(('CD', 1.0),)
'16,746'	(('CD', 1.0),)
'16,800,000'	(('CD', 1.0),)
'16-bit'	(('JJ', 1.0),)
'16-hour'	(('JJ', 1.0),)
'16-inch'	(('JJ', 1.0),)
'16-month'	(('JJ', 1.0),)
'16-nation'	(('JJ', 1.0),)
'16-story'	(('JJ', 1.0),)
'16-year-old'	(('JJ', 1.0),)
'16-year-olds'	(('NNS', 1.0),)
'16.02'	(('CD', 1.0),)
'16.03'	(('CD', 1.0),)
'16.05'	(('CD', 1.0),)
'16.08'	(('CD', 1.0),)
'16.1'	(('CD', 1.0),)
'16.2'	(('CD', 1.0),)
'16.20'	(('CD', 1.0),)
'16.22'	(('CD', 1.0),)
'16.25'	(('CD', 1.0),)
'16.3'	(('CD', 1.0),)
'16.375'	(('CD', 1.0),)
'16.38'	(('CD', 1.0),)
'16.4'	(('CD', 1.0),)
'16.40'	(('CD', 1.0),)
'16.436'	(('CD', 1.0),)
'16.5'	(('CD', 1.0),)
'16.50'	(('CD', 1.0),)
'16.56'	(('CD', 1.0),)
'16.59'	(('CD', 1.0),)
'16.6'	(('CD', 1.0),)
'16.625'	(('CD', 1.0),)
'16.66'	(('CD', 1.0),)
'16.7'	(('CD', 1.0),)
'16.75'	(('CD', 1.0),)
'16.88'	(('CD', 1.0),)
'16.9'	(('CD', 1.0),)
'16.95'	(('CD', 1.0),)
'16.97'	(('CD', 1.0),)
'160'	(('CD', 1.0),)
'160,000'	(('CD', 1.0),)
'160.1'	(('CD', 1.0),)
'160.4'	(('CD', 1.0),)
'161'	(('CD', 1.0),)
'161-day'	(('JJ', 1.0),)
'161.1'	(('CD', 1.0),)
'161.3'	(('CD', 1.0),)
'161.5'	(('CD', 1.0),)
'1610'	(('CD', 1.0),)
'162'	(('CD', 1.0),)
'162,000'	(('CD', 1.0),)
'162,190'	(('CD', 1.0),)
'162,767'	(('CD', 1.0),)
'162.1'	(('CD', 1.0),)
'163'	(('CD', 1.0),)
'163,000'	(('CD', 1.0),)
'163-member'	(('JJ', 1.0),)
'163.2'	(('CD', 1.0),)
'163.3'	(('CD', 1.0),)
'164'	(('CD', 1.0),)
'164,830,000'	(('CD', 1.0),)
'165'	(('CD', 1.0),)
'165,000'	(('CD', 1.0),)
'165.1'	(('CD', 1.0),)
'166'	(('CD', 1.0),)
'166,537'	(('CD', 1.0),)
'166,900,000'	(('CD', 1.0),)
'166.4'	(('CD', 1.0),)
'166.8'	(('CD', 1.0),)
'166.9'	(('CD', 1.0),)
'1666'	(('CD', 1.0),)
'167'	(('CD', 1.0),)
'1678.5'	(('CD', 1.0),)
'168'	(('CD', 1.0),)
'168.50'	(('CD', 1.0),)
'168.7'	(('CD', 1.0),)
'169'	(('CD', 1.0),)
'169.28'	(('CD', 1.0),)
'16\\/32'	(('CD', 1.0),)
'16th'	(('JJ', 1.0),)
'16th-century'	(('JJ', 1.0),)
'17'	(('CD', 1.0),)
'17,000'	(('CD', 1.0),)
'17,500'	(('CD', 1.0),)
'17,699'	(('CD', 1.0),)
'17-city'	(('JJ', 1.0),)
'17-member'	(('JJ', 1.0),)
'17-nation'	(('JJ', 1.0),)
'17-store'	(('JJ', 1.0),)
'17-year-old'	(('JJ', 1.0),)
'17.01'	(('CD', 1.0),)
'17.06'	(('CD', 1.0),)
'17.1'	(('CD', 1.0),)
'17.12'	(('CD', 1.0),)
'17.19'	(('CD', 1.0),)
'17.2'	(('CD', 1.0),)
'17.20'	(('CD', 1.0),)
'17.25'	(('CD', 1.0),)
'17.3'	(('CD', 1.0),)
'17.375'	(('CD', 1.0),)
'17.39'	(('CD', 1.0),)
'17.4'	(('CD', 1.0),)
'17.47'	(('CD', 1.0),)
'17.5'	(('CD', 1.0),)
'17.50'	(('CD', 1.0),)
'17.6'	(('CD', 1.0),)
'17.7'	(('CD', 1.0),)
'17.73'	(('CD', 1.0),)
'17.8'	(('CD', 1.0),)
'17.9'	(('CD', 1.0),)
'17.92'	(('CD', 1.0),)
'17.95'	(('CD', 1.0),)
'17.97'	(('CD', 1.0),)
'170'	(('CD', 1.0),)
'170,330,000'	(('CD', 1.0),)
'170.4'	(('CD', 1.0),)
'170.6'	(('CD', 1.0),)
'170.65'	(('CD', 1.0),)
'1701.7'	(('CD', 1.0),)
'171'	(('CD', 1.0),)
'171.04'	(('CD', 1.0),)
'171.9'	(('CD', 1.0),)
'172'	(('CD', 1.0),)
'172.2'	(('CD', 1.0),)
'172.5'	(('CD', 1.0),)
'1721.4'	(('CD', 1.0),)
'173.1'	(('CD', 1.0),)
'173.3'	(('CD', 1.0),)
'173.5'	(('CD', 1.0),)
'1730.7'	(('CD', 1.0),)
'1739.3'	(('CD', 1.0),)
'174'	(('CD', 1.0),)
'174.5'	(('CD', 1.0),)
'174.8'	(('CD', 1.0),)
'1744'	(('CD', 1.0),)
'175'	(('CD', 1.0),)
'175,000'	(('CD', 1.0),)
'175.2'	(('CD', 1.0),)
'175.4'	(('CD', 1.0),)
'175.5'	(('CD', 1.0),)
'1751.9'	(('CD', 1.0),)
'1758.5'	(('CD', 1.0),)
'176'	(('CD', 1.0),)
'176,100,000'	(('CD', 1.0),)
'176,470'	(('CD', 1.0),)
'176.1'	(('CD', 1.0),)
'176.4'	(('CD', 1.0),)
'176.7'	(('CD', 1.0),)
'1761.0'	(('CD', 1.0),)
'177'	(('CD', 1.0),)
'177.3'	(('CD', 1.0),)
'177.4'	(('CD', 1.0),)
'177.5'	(('CD', 1.0),)
'1772.1'	(('CD', 1.0),)
'1772.6'	(('CD', 1.0),)
'178'	(('CD', 1.0),)
'178.0'	(('CD', 1.0),)
'178.375'	(('CD', 1.0),)
'178.5'	(('CD', 1.0),)
'178.8'	(('CD', 1.0),)
'178.9'	(('CD', 1.0),)
'179'	(('CD', 1.0),)
'179,032'	(('CD', 1.0),)
'179.916'	(('CD', 1.0),)
'1796'	(('CD', 1.0),)
'17\\/32'	(('CD', 1.0),)
'17th'	(('JJ', 1.0),)
'17th-century'	(('JJ', 1.0),)
'18'	(('CD', 1.0),)
'18,000'	(('CD', 1.0),)
'18,136'	(('CD', 1.0),)
'18-a-share'	(('JJ', 1.0),)
'18-hole'	(('JJ', 1.0),)
'18-month-old'	(('JJ', 1.0),)
'18-screen'	(('JJ', 1.0),)
'18-story'	(('JJ', 1.0),)
'18-to-$19'	(('JJ', 1.0),)
'18-year-old'	(('JJ', 1.0),)
'18.1'	(('CD', 1.0),)
'18.11'	(('CD', 1.0),)
'18.125'	(('CD', 1.0),)
'18.2'	(('CD', 1.0),)
'18.3'	(('CD', 1.0),)
'18.32'	(('CD', 1.0),)
'18.35'	(('CD', 1.0),)
'18.375'	(('CD', 1.0),)
'18.4'	(('CD', 1.0),)
'18.443'	(('CD', 1.0),)
'18.46'	(('CD', 1.0),)
'18.5'	(('CD', 1.0),)
'18.50'	(('CD', 1.0),)
'18.6'	(('CD', 1.0),)
'18.65'	(('CD', 1.0),)
'18.69'	(('CD', 1.0),)
'18.7'	(('CD', 1.0),)
'18.73'	(('CD', 1.0),)
'18.75'	(('CD', 1.0),)
'18.8'	(('CD', 1.0),)
'18.9'	(('CD', 1.0),)
'18.95'	(('CD', 1.0),)
'180'	(('CD', 1.0),)
'180,000'	(('CD', 1.0),)
'180-foot-tall'	(('JJ', 1.0),)
'180.3'	(('CD', 1.0),)
'180.7'	(('CD', 1.0),)
'180.9'	(('CD', 1.0),)
'1807'	(('CD', 1.0),)
'181'	(('CD', 1.0),)
'181.9'	(('CD', 1.0),)
'1818'	(('CD', 1.0),)
'182'	(('CD', 1.0),)
'182-day'	(('JJ', 1.0),)
'182.1'	(('CD', 1.0),)
'182.6'	(('CD', 1.0),)
'182.9'	(('CD', 1.0),)
'183'	(('CD', 1.0),)
'183,467'	(('CD', 1.0),)
'184'	(('CD', 1.0),)
'184-day'	(('JJ', 1.0),)
'184.4'	(('CD', 1.0),)
'184.9'	(('CD', 1.0),)
'1844'	(('CD', 1.0),)
'1845'	(('CD', 1.0),)
'185'	(('CD', 1.0),)
'185-acre'	(('JJ', 1.0),)
'185.5'	(('CD', 1.0),)
'185.7'	(('CD', 1.0),)
'1850'	(('CD', 1.0),)
'186'	(('CD', 1.0),)
'186,000'	(('CD', 1.0),)
'186.1'	(('CD', 1.0),)
'186.4'	(('CD', 1.0),)
'1868'	(('CD', 1.0),)
'187'	(('CD', 1.0),)
'187.1'	(('CD', 1.0),)
'187.4'	(('CD', 1.0),)
'187.8'	(('CD', 1.0),)
'1872'	(('CD', 1.0),)
'188'	(('CD', 1.0),)
'188,726'	(('CD', 1.0),)
'188.1'	(('CD', 1.0),)
'188.2'	(('CD', 1.0),)
'188.5'	(('CD', 1.0),)
'188.7'	(('CD', 1.0),)
'188.89'	(('CD', 1.0),)
'1881'	(('CD', 1.0),)
'1883'	(('CD', 1.0),)
'189'	(('CD', 1.0),)
'189.32'	(('CD', 1.0),)
'189.52'	(('CD', 1.0),)
'189.8'	(('CD', 1.0),)
'1890s'	(('CD', 0.5), ('NNS', 0.5))
'1891'	(('CD', 1.0),)
'18\\/32'	(('CD', 1.0),)
'18th'	(('JJ', 1.0),)
'18th-century'	(('JJ', 1.0),)
'19%-owned'	(('JJ', 1.0),)
'19'	(('CD', 1.0),)
'19,000'	(('CD', 1.0),)
'19,395'	(('CD', 1.0),)
'19-inch'	(('JJ', 1.0),)
'19-month'	(('JJ', 1.0),)
'19-month-old'	(('JJ', 1.0),)
'19-story'	(('JJ', 1.0),)
'19-year'	(('JJ', 1.0),)
'19-year-olds'	(('NNS', 1.0),)
'19.1'	(('CD', 1.0),)
'19.125'	(('CD', 1.0),)
'19.2'	(('CD', 1.0),)
'19.25'	(('CD', 1.0),)
'19.3'	(('CD', 1.0),)
'19.30'	(('CD', 1.0),)
